col1,RA,Dec,isStageOne,isStageTwo,isStageThree,isStageFour
220,24.5906949,33.279467600000004,false,false,true,false
221,24.6012275,33.2845297,false,false,false,true
222,24.5691305,33.287190700000004,false,false,true,false
223,24.5840089,33.322559600000005,false,true,false,false
224,24.5884482,33.3120467,false,false,true,false
225,161.9289659,5.255095799999999,true,false,false,false
226,161.93445830000005,5.2632963,false,false,true,false
227,342.9344336000001,-17.8846264,true,false,false,false
228,189.0694855,62.3856545,false,false,true,false
229,189.0951627,62.4076519,false,true,false,false
230,189.1043263,62.4160856,true,false,false,false
231,24.1955518,41.4979938,false,false,false,true
232,24.179739399999995,41.53105770000001,false,true,false,false
233,24.2209818,41.5347927,false,false,false,true
234,195.0279028,27.9494402,false,true,false,false
235,53.18733710000001,-27.9108769,false,false,false,true
236,184.73271090000003,47.0468464,true,false,false,false
237,184.7017354,47.0576778,false,false,true,false
238,184.732427,47.0596384,false,false,false,true
239,53.1927228,-27.919102,false,false,true,false
240,53.2055231,-27.90765750000001,false,false,true,false
241,170.0436236,-12.1467385,false,false,false,true
242,170.0780185,-12.1255361,false,false,false,true
243,170.0673626,-12.1208102,false,true,false,false
244,170.0487434,-12.1076582,true,false,false,false
245,86.65200209999998,-53.7526202,false,false,false,true
246,109.3630032,37.7337671,false,false,false,true
247,142.0946721,36.7600052,false,false,false,true
248,142.12875680000005,36.7644271,false,false,true,false
249,142.0873695,36.76892470000001,true,false,false,false
250,142.0960701,36.77042700000001,false,true,false,false
251,142.0881769,36.7792579,false,true,false,false
252,8.8831552,36.49961,false,false,false,true
253,8.8991174,36.5285073,false,false,false,true
254,149.9385911,2.4332617,true,false,false,false
255,149.95705669999995,2.4382344,false,false,true,false
256,149.93299330000005,2.4773542,false,false,false,true
257,189.0381716,62.3447086,false,false,false,true
258,189.0541782,62.3692076,false,true,false,false
259,150.6701085,2.7985244,false,false,false,true
260,150.67754109999996,2.7991157,false,true,false,false
261,150.63300619999995,2.8005146,false,true,false,false
262,150.6533045,2.8093801,false,false,true,false
263,150.6680978,2.8107758,false,true,false,false
264,150.6652325,2.8132052000000005,false,false,false,true
265,150.67240259999997,2.8166543,true,false,false,false
266,150.6708127,2.8185592999999995,true,false,false,false
267,150.6761757,2.8255071,true,false,false,false
268,150.6388585,2.8255466,false,false,false,true
269,150.6744769,2.829374,false,false,false,true
270,150.6831355,2.8328064,false,true,false,false
271,91.8394445,-34.1800108,false,false,false,true
272,6.7125013,18.933331,false,true,false,false
273,3.5916871,-30.3638136,false,false,true,false
274,3.5839958,-30.3656788,false,true,false,false
275,12.278722,40.2709638,false,false,false,true
276,12.296443,40.285737,false,false,false,true
277,12.2932993,40.302011,false,false,false,true
278,12.2852424,40.3151297,false,false,false,true
279,150.1228962,2.4435601000000005,false,true,false,false
280,150.118948,2.4572047,false,true,false,false
281,150.112697,2.4576339,false,false,false,true
282,150.12202340000005,2.4615691,false,false,false,true
283,174.2292962,0.0687606,false,false,true,false
284,174.2010874,0.0760919,false,true,false,false
285,174.218563,0.0804156999999999,false,false,false,true
286,174.22446399999995,0.086035,false,true,false,false
287,174.208762,0.0870128,false,true,false,false
288,174.23364030000005,0.0874326,true,false,false,false
289,174.2381809,0.0939924999999999,false,false,true,false
290,174.2343732,0.1025007,false,true,false,false
291,174.22501090000003,0.1060171,false,false,false,true
292,174.22463969999995,0.1107583999999999,false,false,false,true
293,73.553448,-3.1160343,false,true,false,false
294,73.56185390000002,-3.1113555,true,false,false,false
295,73.5675477,-3.1092084,false,true,false,false
296,73.56855909999999,-3.1031882,false,false,true,false
297,73.56177509999998,-3.0975703,false,false,true,false
298,73.5435573,-3.0889383,false,false,true,false
299,73.57710250000002,-3.0742638,false,true,false,false
300,73.56604420000002,-3.0655504,false,true,false,false
301,73.5840328,-3.0629392,false,false,false,false
302,73.5799377,-3.0604642,false,false,false,false
303,73.5507942,-3.0577926,false,false,false,false
304,73.5718368,-3.0444399,false,false,false,false
305,342.1959584,-44.6471036,false,false,false,false
306,342.2132136,-44.6458345,false,false,false,false
307,342.160865,-44.6438273,false,false,false,false
308,342.1492855,-44.6299559,false,false,false,false
309,342.1776465,-44.6179279,false,false,false,false
310,342.2001313,-44.6151576,false,false,false,false
311,189.1010697,62.1436176,false,false,false,false
312,49.5632352,-25.6136994,false,false,false,false
313,49.55041660000001,-25.5865645,false,false,false,false
314,49.5943424,-25.5759799,false,false,false,false
315,49.5547351,-25.56935660000001,false,false,false,false
316,49.5806331,-25.5678964,false,false,false,false
317,103.9233184,39.0699309,false,false,false,false
318,103.9239106,39.1129679,false,false,false,false
319,103.9482235,39.1141311,false,false,false,false
320,103.9318035,39.11168789999999,false,false,false,false
321,150.02231730000003,2.1993931,false,false,false,false
322,150.03474780000005,2.2194592,false,false,false,false
323,150.024039,2.2362264,false,false,false,false
324,150.0107125,2.2417455000000004,false,false,false,false
325,131.7893136,34.805711200000005,false,false,false,false
326,131.8077831,34.80922279999999,false,false,false,false
327,131.8003593,34.8130428,false,false,false,false
328,131.77327,34.8128164,false,false,false,false
329,131.8031799,34.8137611,false,false,false,false
330,131.8107176,34.8174381,false,false,false,false
331,131.79734209999998,34.817545200000005,false,false,false,false
332,131.7731987,34.8301433,false,false,false,false
333,131.7807162,34.8344297,false,false,false,false
334,131.7761455,34.8392948,false,false,false,false
335,186.8299905,23.811825,false,false,false,false
336,186.7984972,23.815065,false,false,false,false
337,186.8410223,23.8381457,false,false,false,false
338,186.8474271,23.8403299,false,false,false,false
339,186.8422092,23.8579503,false,false,false,false
340,187.0404707,12.5580894,false,false,false,false
341,0.6476227,16.008064800000003,false,false,false,false
342,0.6588797,16.0170377,false,false,false,false
343,195.3675735,27.8515726,false,false,false,false
344,195.364838,27.8540843,false,false,false,false
345,195.319279,27.8732461,false,false,false,false
346,195.3319665,27.8800561,false,false,false,false
347,195.3334792,27.885221,false,false,false,false
348,195.3951496,27.8869458,false,false,false,false
349,195.3938412,27.8925441,false,false,false,false
350,195.3611879,27.9084184,false,false,false,false
351,264.84340319999995,68.9708969,false,false,false,false
352,264.8026091,68.98358420000001,false,false,false,false
353,264.866302,68.98388790000001,false,false,false,false
354,264.87373540000004,68.98625109999999,false,false,false,false
355,264.8785629,68.9910588,false,false,false,false
356,264.8364444,68.99530940000001,false,false,false,false
357,264.7807621,68.9980343,false,false,false,false
358,264.8825943,69.0043737,false,false,false,false
359,264.7919019,69.0058467,false,false,false,false
360,264.8451749,69.0153549,false,false,false,false
361,264.8494332,69.0216255,false,false,false,false
362,264.8380398,69.0241538,false,false,false,false
363,0.6656623,15.9813908,false,false,false,false
364,189.0521202,62.2438377,false,false,false,false
365,184.6531042,47.4989661,false,false,false,false
366,184.619947,47.5046747,false,false,false,false
367,215.1364412,52.9242277,false,false,false,false
368,215.1321105,52.9262932,false,false,false,false
369,215.0952043,52.93716460000001,false,false,false,false
370,215.1453272,52.9433889,false,false,false,false
371,215.1410365,52.9443576,false,false,false,false
372,215.1755161,52.9460245,false,false,false,false
373,215.1747836,52.9498429,false,false,false,false
374,215.178459,52.9553419,false,false,false,false
375,150.5507569,2.7320341,false,false,false,false
376,150.377288,41.826177,false,false,false,false
377,150.39259840000005,41.848525,false,false,false,false
378,150.3939655,41.8516585,false,false,false,false
379,150.39004930000004,41.8550581,false,false,false,false
380,150.3920419,41.8673482,false,false,false,false
381,150.3143399,2.2416113,false,false,false,false
382,189.1510721,62.286126,false,false,false,false
383,150.3964665,1.8277408,false,false,false,false
384,150.3878706,1.8391952,false,false,false,false
385,150.37626569999995,1.845929,false,false,false,false
386,150.3940779,1.848256,false,false,false,false
387,150.3975469,1.8486644,false,false,false,false
388,150.3736149,1.8520453,false,false,false,false
389,150.3941288,1.8523119,false,false,false,false
390,150.36956659999996,1.8626841,false,false,false,false
