col1,SourceID,RA,Dec,Stage 1,Stage 2,Stage 3,Stage 4
20273,6000273161532,344.6827797,-34.797540399999995,false,true,false,false
20274,6000273228753,189.1891293,62.2238741,true,false,false,false
20275,6000273624478,170.09394809999995,-12.0316307,true,false,false,false
20276,6000273727676,173.3147499,50.12639650000001,false,true,false,false
20277,6000273727741,173.31787350000005,50.1353331,true,false,false,false
20278,6000273866972,214.9055642,52.8473413,true,false,false,false
20279,6000274223978,255.210581,64.27553370000001,false,false,false,true
20280,6000274612443,214.6162543,52.7275177,false,true,false,false
20281,6000274612485,214.6348918,52.7236833,true,false,false,false
20282,6000274726897,173.27960369999997,50.152166,true,false,false,false
20283,6000275304761,109.3832434,37.7526407,true,false,false,false
20284,6000275308523,150.4288964,1.9197671000000005,false,false,true,false
20285,6000275308651,150.43122659999997,1.9119039,false,false,false,true
20286,6000275410759,214.9556722,52.9978172,false,false,false,true
20287,6000275410841,214.9629532,53.0126083,false,true,false,false
20288,6000275410905,214.9658932,53.01239939999999,false,false,false,true
20289,6000275410942,214.9584847,53.0066816,true,false,false,false
20290,6000276234695,150.0302907,2.3587304,true,false,false,false
20291,6000277077697,56.1358051,-44.60014279999999,true,false,false,false
20292,6000277189903,146.8399541,76.40253919999998,false,false,false,true
20293,6000277913528,215.264516,53.05787,true,false,false,false
20294,6000277991500,215.2591399,53.0791588,false,false,false,true
20295,6000278051982,186.7637381,23.8182682,false,false,false,true
20296,6000278052311,186.775404,23.8298985,false,false,true,false
20297,6000278052497,186.7621074,23.8356831,false,false,true,false
20298,6000278052601,186.756821,23.8388374,false,false,false,true
20299,6000278052615,186.75412340000003,23.8409697,false,false,true,false
20300,6000278052694,186.7390736,23.8390065,true,false,false,false
20301,6000278538341,3.5746726000000004,-30.3857475,true,false,false,false
20302,6000278867490,25.0049529,-5.9187454000000015,false,true,false,false
20303,6000278867521,24.9902887,-5.9171469000000005,false,false,true,false
20304,6000278867536,24.999828,-5.9171685,false,true,false,false
20305,6000278867600,24.9832896,-5.9207793,false,true,false,false
20306,6000279299468,128.5810299,45.39850429999999,true,false,false,false
20307,6000281083726,323.7872194,-1.0652271999999998,false,false,false,true
20308,6000281084230,323.8099611,-1.0447369,true,false,false,false
20309,6000281084878,323.7973264,-1.0593137,false,true,false,false
20310,6000281085420,53.0972821,-27.8654893,true,false,false,false
20311,6000281906257,19.0687771,14.4222639,false,false,false,true
20312,6000282654324,216.8633289,33.7005037,false,false,false,true
20313,6000282654373,216.83877,33.70570670000001,true,false,false,false
20314,6000282654508,216.8472019,33.7187155,false,true,false,false
20315,6000282654715,216.860569,33.7390093,false,false,true,false
20316,6000282654720,216.8391673,33.7378434,false,false,true,false
20317,6000283029264,316.5397159,-58.73535989999999,false,false,false,true
20318,6000283306841,334.34074110000006,0.2505552,false,true,false,false
20319,6000283306982,334.3395705,0.2556633,false,false,true,false
20320,6000283307009,334.3169229,0.2767493,false,false,false,true
20321,6000283691988,214.6901675,52.6302141,false,true,false,false
20322,6000284985152,187.4829526,8.001043899999999,true,false,false,false
20323,6000284985164,187.4827401,8.000918400000002,true,false,false,false
20324,6000285217029,215.9427172,24.092416600000004,false,false,true,false
20325,6000287796616,216.1850841,35.0762711,false,false,true,false
20326,6000289676071,150.0851071,2.527825,false,false,true,false
20327,6000290327113,215.9405191,24.0838582,true,false,false,false
20328,6000290755870,186.7749067,23.866311,true,false,false,false
20329,6000290755892,186.7792329,23.8690408,true,false,false,false
20330,6000291033821,158.7215982,51.8948296,false,false,false,true
20331,6000291033894,158.65297859999995,51.8980254,false,true,false,false
20332,6000291033934,158.6646959,51.900692,false,true,false,false
20333,6000291034179,158.6525253,51.9074656,false,true,false,false
20334,6000292107411,157.30747580000005,26.3788571,true,false,false,false
20335,6000292107718,157.32480230000004,26.3898749,true,false,false,false
20336,6000292107751,157.3250302,26.3883469,true,false,false,false
20337,6000292107752,157.3254521,26.387885,false,false,false,false
20338,6000292107830,157.3062491,26.3845509,false,false,true,false
20339,6000292107873,157.3150626,26.3820722,false,true,false,false
20340,6000292107922,157.32203069999997,26.4040577,true,false,false,false
20341,6000292112468,322.385642,-7.584985499999997,false,false,false,true
20342,6000292619019,53.1831608,-27.775845,false,false,false,true
20343,6000292783285,128.5327531,66.1688578,false,true,false,false
20344,6000293484700,214.7737415,52.80967510000001,false,false,false,true
20345,6000294707310,150.344396,1.9331718,false,false,true,false
20346,6000294707314,150.35103859999995,1.9356063,false,false,false,true
20347,6000294707424,150.3579687,1.9731931,false,false,false,true
20348,6000294707485,150.3446281,1.953979,true,false,false,false
20349,6000294707487,150.344393,1.9531765,true,false,false,false
20350,6000295495143,139.04618480000002,-0.4167257,false,false,false,true
20351,6000295496017,139.0365898,-0.4026406,false,true,false,false
20352,6000295496078,139.0648767,-0.4038537,false,true,false,false
20353,6000295496220,139.048996,-0.3875044,true,false,false,false
20354,6000295497133,139.03775480000002,-0.3984445,false,true,false,false
20355,6000295752439,214.6910335,52.7487041,false,false,false,true
20356,6000295752455,214.7041135,52.7495376,true,false,false,false
20357,6000295752526,214.7306811,52.76792510000001,false,false,false,true
20358,6000296177078,158.74523080000003,51.8763703,false,true,false,false
20359,6000296177265,158.71552419999998,51.8848797,false,true,false,false
20360,6000296178160,158.7467266,51.910577,false,false,false,true
20361,6000296248915,214.8406236,52.89487270000001,true,false,false,false
20362,6000296794414,53.08169770000001,-27.808687899999995,true,false,false,false
20363,6000297038047,214.8703611,52.8651307,false,true,false,false
20364,6000297234782,189.1574959,62.12276720000001,false,true,false,false
20365,6000297392227,189.2396636,26.1369799,false,true,false,false
