col1,SourceID,RA,Dec,Stage 1,Stage 2,Stage 3,Stage 4
4881,4000875210655,150.01191430000003,2.1766814,false,true,false,false
4882,4000875210865,150.0075737,2.1861978,false,true,false,false
4883,4000875210972,150.012687,2.1932871,false,true,false,false
4884,4000875241320,150.22748049999996,1.7943754,false,true,false,false
4885,4000875241601,150.2298075,1.8054607,false,false,false,true
4886,4000875241623,150.1889006,1.8064174,false,true,false,false
4887,4000875241928,150.20951169999995,1.8182327,false,false,false,true
4888,4000875241993,150.20603590000005,1.821705,false,false,false,true
4889,4000875242333,150.2190785,1.8301932,false,true,false,false
4890,4000875508244,18.5813321,38.099551700000006,false,false,true,false
4891,4000875511846,18.5782482,38.137905,false,true,false,false
4892,4000875573351,116.3033546,39.5026747,true,false,false,false
4893,4000875573626,116.3306528,39.5255203,false,true,false,false
4894,4000875574507,150.29180780000004,2.1901252,false,true,false,false
4895,4000875575088,150.2907625,2.2316944,false,false,false,true
4896,4000875781812,322.421018,0.0572530999999999,false,false,false,true
4897,4000875886351,216.7784875,33.5310403,false,false,false,true
4898,4000875887129,216.7467502,33.5515325,false,false,false,true
4899,4000875887375,216.7829109,33.5545617,false,true,false,false
4900,4000875888144,216.7754194,33.5710932,false,false,false,true
4901,4000876273224,265.2353092,-53.7469052,false,false,false,true
4902,4000876543222,356.5406028,12.7950462,false,false,false,true
4903,4000876543330,356.55452010000016,12.8030837,false,false,false,true
4904,4000876543419,356.5577266,12.8063919,false,false,false,true
4905,4000876543440,356.5610876,12.809325,false,false,true,false
4906,4000876543486,356.5326591,12.8096916,false,false,false,true
4907,4000876544079,356.5761827,12.8387044,false,false,true,false
4908,4000876544088,356.5760057,12.8383924,false,false,true,false
4909,4000876545428,150.03949619999997,2.3825564,false,true,false,false
4910,4000876545435,150.04475380000005,2.3780821,true,false,false,false
4911,4000876571690,247.9320157,18.8741135,false,false,false,true
4912,4000876571760,247.9349387,18.8791143,false,false,true,false
4913,4000876571764,247.9348611,18.8793908,false,false,true,false
4914,4000876571880,247.9309894,18.8870409,false,true,false,false
4915,4000876571934,247.9669943,18.8892553,false,false,true,false
4916,4000876572090,247.9169973,18.8991547,false,false,false,true
4917,4000876572140,247.9704978,18.9021448,false,true,false,false
4918,4000876572156,247.9296422,18.9026192,false,true,false,false
4919,4000876572160,247.9297108,18.9024469,false,true,false,false
4920,4000876572174,247.919541,18.9034212,true,false,false,false
4921,4000876572298,247.93907030000005,18.9141396,false,false,false,true
4922,4000876594715,150.395188,2.4562064,false,false,false,true
4923,4000876594769,150.3746486,2.4595188,false,false,true,false
4924,4000876594805,150.3730495,2.4605497000000005,false,false,true,false
4925,4000876594929,150.40346540000004,2.4646725,false,false,false,true
4926,4000876595089,150.39717209999995,2.471396,false,false,true,false
4927,4000876595306,150.39828390000002,2.4809092,false,false,true,false
4928,4000876595346,150.3659924,2.4827162,false,true,false,false
4929,4000876595488,150.36710369999997,2.4896272999999995,false,false,true,false
4930,4000876595546,150.4132518,2.4919184,false,false,true,false
4931,4000876595631,150.3866687,2.4954277,false,false,false,true
4932,4000876595654,150.383592,2.4957173,false,false,true,false
4933,4000876595667,150.4072972,2.4970788,false,true,false,false
4934,4000876595713,150.3841649,2.4980948,false,false,true,false
4935,4000876718400,198.0641785,44.0244819,false,true,false,false
4936,4000876719573,198.0157983,44.0287701,false,true,false,false
4937,4000876958270,148.2139008,68.8401182,false,false,false,true
4938,4000876958303,148.2204507,68.84177290000001,false,false,true,false
4939,4000876958469,148.2256108,68.846636,false,true,false,false
4940,4000876958647,148.250868,68.8514323,false,true,false,false
4941,4000876959050,148.18801489999996,68.8615138,false,false,false,true
4942,4000876959244,148.2695034,68.8665571,false,false,false,true
4943,4000876959836,148.2254461,68.88147459999999,false,false,true,false
4944,4000876959917,148.3031408,68.883811,false,false,false,true
4945,4000877020681,116.2200751,39.4316617,false,true,false,false
4946,4000877021192,116.2307405,39.4466993,false,false,true,false
4947,4000877021264,116.2382579,39.448604,false,false,true,false
4948,4000877021557,116.2254503,39.4575506,true,false,false,false
4949,4000877021571,116.205594,39.4577054,true,false,false,false
4950,4000877021689,116.1982284,39.4603975,false,false,true,false
4951,4000877021787,116.2112308,39.462563,true,false,false,false
4952,4000877021908,116.1853148,39.4650462,true,false,false,false
4953,4000877022518,116.2197496,39.4840724,false,false,true,false
4954,4000877023018,13.548713199999998,39.767271,false,true,false,false
4955,4000877694799,150.53502959999997,2.3827207,false,false,false,true
4956,4000877694884,150.5096398,2.3849188,false,false,false,true
4957,4000877695238,150.5351206,2.4005244,false,false,true,false
4958,4000877695623,150.5322535,2.4171476000000003,false,true,false,false
4959,4000877695738,150.5484475,2.4240214,false,false,true,false
4960,4000877695809,150.51465180000002,2.4195419,false,false,false,true
4961,4000877696006,115.6645557,16.536591199999997,false,false,false,true
4962,4000877697425,115.6650559,16.569669199999996,false,false,false,true
4963,4000877965054,189.4196435,62.1403799,false,false,false,true
4964,4000877965931,215.2059259,53.0741554,false,false,false,true
4965,4000877966061,215.11811290000003,53.084077,true,false,false,false
4966,4000877985649,215.3222469,53.0897983,false,false,true,false
4967,4000877985851,215.2934053,53.09492090000001,false,true,false,false
4968,4000877987393,320.8980933,-53.0293921,false,false,true,false
4969,4000877987734,320.8713843000001,-53.0098934,false,false,true,false
4970,4000878173499,150.0626312,2.5744977,false,false,false,true
4971,4000878173789,150.0580627,2.5857944,false,false,true,false
4972,4000878173912,150.0625799,2.5925566000000004,false,false,false,true
4973,4000878174041,150.0702463,2.5967614,true,false,false,false
4974,4000878174828,149.65570680000005,1.623363,false,false,true,false
4975,4000878175113,149.6493819,1.6378499,false,false,false,true
4976,4000878175220,149.66110940000004,1.6427541,false,false,true,false
4977,4000878175708,149.6292133,1.6691,false,false,false,true
4978,4000878524736,149.8613445,2.4982701,false,false,true,false
4979,4000878525045,149.86530249999996,2.5104555,false,false,false,true
4980,4000878525094,149.8401139,2.5136599,false,false,false,true
4981,4000878525229,149.83489269999995,2.516816,true,false,false,false
4982,4000878525448,149.8441593,2.5241159,false,false,false,true
4983,4000878525523,149.8557259,2.5278666000000003,false,false,false,true
4984,4000878525856,149.8669193,2.5383727,false,false,false,true
4985,4000878525974,149.8629948,2.5447733,false,true,false,false
