col1,SourceID,RA,Dec,s1,s2,s3,s4
9175,4001024091888,29.0437498,-55.67767760000001,false,false,false,true
9176,4001024166180,187.0609763,12.535763,false,true,false,false
9177,4001024166742,187.0228261,12.5581963,true,false,false,false
9178,4001024166837,187.0366209,12.5639277,false,false,false,true
9179,4001024437781,200.8930307,30.3593857,false,true,false,false
9180,4001024438029,200.8973523,30.3694658,false,true,false,false
9181,4001024438163,200.9083766,30.3750488,true,false,false,false
9182,4001024438195,200.8990611,30.377676300000005,false,false,false,true
9183,4001024438213,200.915286,30.3777184,true,false,false,false
9184,4001024438255,200.8750553,30.37909,true,false,false,false
9185,4001024438313,200.8952871,30.3818505,true,false,false,false
9186,4001024438423,200.89702140000003,30.3901265,true,false,false,false
9187,4001024438460,200.9117273,30.3899961,false,true,false,false
9188,4001024438465,200.8735971,30.39047050000001,false,false,false,true
9189,4001024438576,200.9163226,30.3933033,true,false,false,false
9190,4001024438609,200.8821292,30.3942368,false,true,false,false
9191,4001024438728,200.8902267,30.3985649,false,true,false,false
9192,4001024438785,200.8862522,30.4016672,true,false,false,false
9193,4001024438958,200.8854777,30.4048211,false,false,true,false
9194,4001024438983,200.8923495,30.4079497,false,false,true,false
9195,4001024459580,188.9064666,62.2454666,false,true,false,false
9196,4001024459642,188.9190166,62.2493313,true,false,false,false
9197,4001024665605,149.47126200000002,2.0279245,false,false,false,true
9198,4001024665705,149.491416,2.0342921,false,true,false,false
9199,4001024665746,149.4834862,2.034092,false,false,false,true
9200,4001024665913,149.5088332,2.0402464,false,true,false,false
9201,4001024666873,150.6868477,1.706041,true,false,false,false
9202,4001024666874,150.6875353,1.7058813999999998,false,false,false,false
9203,4001024667142,150.661685,1.7185867,false,true,false,false
9204,4001024667291,150.697459,1.7270516,true,false,false,false
9205,4001024667303,150.6977688,1.7270328999999998,false,false,false,false
9206,4001024667582,150.6951281,1.7410554,false,false,true,false
9207,4001024668097,188.9093053,62.2479095,true,false,false,false
9208,4001024668231,188.866633,62.2593056,true,false,false,false
9209,4001024682871,6.5482212,-11.0981713,true,false,false,false
9210,4001024682977,6.5433707000000005,-11.0961528,true,false,false,false
9211,4001024683766,6.5161397,-11.0769921,true,false,false,false
9212,4001024685388,6.5513894,-11.0473406,false,false,true,false
9213,4001025030782,187.0404969,44.13105460000001,false,false,false,true
9214,4001025537537,52.9656385,-27.7782567,false,true,false,false
9215,4001025538007,52.9950711,-27.750241100000004,false,false,true,false
9216,4001025574043,62.1956038,-24.3378592,false,true,false,false
9217,4001025574103,62.1980829,-24.33384460000001,false,false,true,false
9218,4001025574148,62.2134828,-24.3299457,false,false,true,false
9219,4001025574374,62.2354341,-24.3211921,false,false,true,false
9220,4001025574399,62.23229499999999,-24.3200662,true,false,false,false
9221,4001025574415,62.22157370000001,-24.3192908,false,false,false,true
9222,4001025574523,62.1959811,-24.3156535,false,false,false,true
9223,4001025574556,62.22691460000001,-24.3142404,false,true,false,false
9224,4001025574561,62.227171,-24.31415100000001,false,false,false,false
9225,4001025574579,62.23676510000001,-24.31201230000001,false,true,false,false
9226,4001025574595,62.1958971,-24.3118413,false,false,true,false
9227,4001025574638,62.21594279999999,-24.3112429,false,true,false,false
