col1,SourceID,RA,Dec,isStageOne,isStageTwo,isStageThree,isStageFour
835,4000729424061,150.44529690000005,2.2246159,False,False,False,True
836,4000729424141,150.4683236,2.2229186000000003,False,True,False,False
878,4000731071746,150.3442826,1.8709388,False,True,False,False
879,4000731072449,150.3358941,1.903574,False,False,False,True
880,4000731072464,150.3454842,1.9038797,False,True,False,False
881,4000731072574,150.3270771,1.9095948,False,True,False,False
882,4000731072715,150.3294382,1.9203642,False,False,True,False
883,4000731072726,150.31762030000004,1.9223518,False,True,False,False
884,4000731072797,150.31936530000004,1.9236232,False,False,False,True
885,4000731072808,150.3090772,1.9164095,False,True,False,False
886,4000731072862,150.3624783,1.9186352,True,False,False,False
931,4000734196787,150.2034695,2.4567271,False,False,False,True
932,4000734196846,150.2106811,2.4584496,False,False,False,True
933,4000734196980,150.2337604,2.4634724,False,False,False,True
934,4000734197026,150.21819680000004,2.4646554,False,False,True,False
935,4000734197078,150.2260657,2.4670526,False,True,False,False
936,4000734197418,150.2377918,2.4802019,True,False,False,False
948,4000735754270,149.9343396,2.7525974,False,False,False,True
949,4000735754448,149.9188363,2.760545,False,True,False,False
950,4000735754570,149.96979480000005,2.7677384,False,True,False,False
951,4000735754703,149.9439507,2.7746467,False,True,False,False
952,4000735754949,149.92594430000003,2.7862538,False,False,True,False
953,4000735886867,150.4299034,2.1241249,True,False,False,False
954,4000735886881,150.43141880000005,2.1251243,True,False,False,False
955,4000735886941,150.4519326,2.1274921,False,True,False,False
956,4000735887169,150.4311945,2.1366023,False,False,False,True
957,4000735887207,150.4493795,2.1369553,True,False,False,False
958,4000735887359,150.45338569999996,2.1426276,False,True,False,False
959,4000735887534,150.4610251,2.1496321,False,False,False,True
960,4000735887780,150.4204554,2.1589316000000003,False,False,True,False
961,4000735887913,150.4517378,2.1639656000000005,False,True,False,False
964,4000736223525,149.8678495,1.7480127,False,True,False,False
965,4000736223555,149.8603735,1.7493245,True,False,False,False
966,4000736224169,149.85719450000005,1.7766572,False,True,False,False
998,4000736631176,150.1330225,1.8714062,False,True,False,False
999,4000736631194,150.13069280000005,1.8717253,False,True,False,False
1000,4000736631264,150.1292541,1.8737948,False,True,False,False
1001,4000736631483,150.13770300000004,1.8822919,True,False,False,False
1002,4000736631742,150.1016169,1.8943631,False,True,False,False
1003,4000736631745,150.13032280000004,1.8960556,False,False,False,True
1004,4000736631767,150.1337074,1.8949215,False,False,True,False
1005,4000736632091,150.09391230000003,1.9099911,False,False,True,False
1011,4000736925427,150.34655039999996,1.946906,False,False,False,True
1012,4000736925720,150.3267678,1.9591436,False,True,False,False
1013,4000736925915,150.3635894,1.9726424,True,False,False,False
1030,4000736977801,149.8087812,2.5270048,False,True,False,False
1061,4000738039304,149.9675195,1.7308878,False,False,False,True
1062,4000738039424,150.0063272,1.7381084999999998,False,False,False,True
1063,4000738039550,149.9873441,1.7449869999999998,False,True,False,False
1064,4000738039609,149.9579272,1.7471077000000002,True,False,False,False
1065,4000738039802,149.9825988,1.7572516,True,False,False,False
1071,4000738622825,150.02914030000005,2.0351173,False,False,False,True
1072,4000738623117,150.0164958,2.0462796,True,False,False,False
1073,4000738623627,150.04611630000005,2.0689109,False,False,False,True
1103,4000739671686,149.6486407,1.8563488,False,True,False,False
1104,4000739671702,149.640445,1.8571943,False,True,False,False
1105,4000739671792,149.6371026,1.8630374,False,False,False,True
1106,4000739672051,149.6488581,1.8751903000000003,False,False,False,True
1107,4000739672089,149.6186844,1.8767738,False,True,False,False
1108,4000739672121,149.6313091,1.8797077,False,False,False,True
1109,4000739672132,149.6413166,1.8846027,False,False,True,False
1110,4000739822287,149.7791656,2.4774339,True,False,False,False
1129,4000740717089,150.68091130000005,2.4766215,False,True,False,False
1130,4000740717402,150.6636395,2.489096,True,False,False,False
1131,4000740717472,150.66372030000005,2.4929818,False,False,True,False
1132,4000740717714,150.6514191,2.5031063,False,False,False,True
1133,4000740717730,150.6361746,2.503757,False,True,False,False
1134,4000740717819,150.6358526,2.5093982999999995,False,False,False,True
1176,4000742617597,150.183232,2.1145162,True,False,False,False
1177,4000742617630,150.1629719,2.1174049,False,False,True,False
1178,4000742618454,150.1633893,2.1559763,False,False,True,False
1179,4000742618827,150.35539609999995,2.6195229,False,True,False,False
1180,4000742619004,150.3564121,2.6415704,False,True,False,False
1181,4000742619124,150.3358336,2.6495065,True,False,False,False
1182,4000742619167,150.3507543,2.6522356,False,True,False,False
1183,4000742619263,150.36390790000004,2.657039,True,False,False,False
1184,4000742619501,150.3400478,2.6701159,False,False,True,False
1185,4000742619575,150.3473731,2.6766497000000005,False,True,False,False
1186,4000742619597,150.3596211,2.6787573,False,True,False,False
1202,4000742920548,150.399058,2.627012,False,True,False,False
1203,4000742920920,150.384631,2.6387788,False,False,True,False
1204,4000742920944,150.438343,2.6390395,False,True,False,False
1205,4000742921362,150.42100219999998,2.654162,False,True,False,False
1206,4000742921584,150.394482,2.6584025,False,True,False,False
1207,4000742921703,150.40217030000005,2.667259,False,True,False,False
1211,4000743330099,149.5335521,1.5907206,False,False,False,True
1212,4000743330389,149.5173314,1.6044087,False,True,False,False
1279,4000744287468,150.1134599,2.4038315,False,True,False,False
1280,4000744287919,150.11004609999995,2.4211501,True,False,False,False
1281,4000744288338,150.1283352,2.4371075,False,True,False,False
1282,4000744288355,150.1021571,2.4383926,False,True,False,False
1291,4000744715507,150.507157,2.785237,False,True,False,False
1292,4000744715732,150.517353,2.7951763,True,False,False,False
1293,4000744715801,150.4922881,2.7996194,False,False,False,True
1336,4000746514872,149.7760303,2.183244,True,False,False,False
1337,4000746514890,149.8027492,2.1841954,True,False,False,False
1338,4000746514945,149.8056595,2.1872975,False,False,False,True
1339,4000746515031,149.7734274,2.1915504,False,True,False,False
1340,4000746515237,149.7895919,2.2005394,False,True,False,False
1341,4000746515540,149.7927972,2.214541,False,True,False,False
1342,4000746515801,149.7791044,2.2325134,False,False,False,True
1343,4000746515842,149.7842018,2.2307342,False,True,False,False
1345,4000746520779,149.8030877,1.9707244,False,False,False,True
1346,4000746520847,149.77957460000005,1.9729933,False,True,False,False
1347,4000746521436,149.82505469999995,1.9988237,False,False,False,True
1348,4000746521611,149.8144116,2.0051581,False,True,False,False
1370,4000747938924,150.4578419,2.8243537999999995,False,False,True,False
1371,4000747939049,150.43311599999996,2.8305076,False,True,False,False
1372,4000747939904,150.45307219999995,2.8698176,False,True,False,False
1373,4000747939919,150.4537204,2.8668916,True,False,False,False
1409,4000749509510,149.8649865,2.3342137000000003,False,True,False,False
1410,4000749509534,149.88285919999996,2.3331937000000003,True,False,False,False
1411,4000749509664,149.88396459999996,2.3381472000000003,False,False,True,False
1412,4000749509721,149.8812763,2.3401639,False,True,False,False
1413,4000749509791,149.8599858,2.3436609,True,False,False,False
1414,4000749509854,149.86517519999995,2.3455569,True,False,False,False
1415,4000749509868,149.8627371,2.3462931,True,False,False,False
1416,4000749510076,149.8561064,2.3559571,False,True,False,False
1417,4000749510367,149.8856971,2.371016,False,True,False,False
1451,4000750016768,150.0638987,1.7559118000000002,False,True,False,False
1452,4000750016968,150.0409184,1.7702126,False,False,True,False
1453,4000750017387,150.0241592,1.7893438000000002,False,False,False,True
1454,4000750017796,150.0341794,1.8061702,True,False,False,False
1555,4000752978504,150.61178180000005,2.4856652,False,False,False,True
1556,4000752978627,150.58597759999995,2.4896315,False,True,False,False
1557,4000752979044,150.5798025,2.5036254,False,False,True,False
1558,4000752979058,150.6211782,2.5045067000000003,False,True,False,False
1559,4000752979169,150.58432209999995,2.5084549,False,False,False,True
1560,4000752979205,150.6027338,2.5098711,False,False,True,False
1561,4000753124272,149.8765041,2.6544948,False,False,False,True
1562,4000753124450,149.9001899,2.6622845,False,True,False,False
1563,4000753124621,149.8735618,2.6683831,True,False,False,False
1564,4000753125015,149.85538689999996,2.6852131,False,True,False,False
1565,4000753125083,149.8834678,2.6881663,True,False,False,False
1566,4000753125229,149.8629562,2.6946504,False,False,False,True
1567,4000753125282,149.858815,2.6962036,False,True,False,False
1568,4000753149744,150.3884753,2.0825416000000003,True,False,False,False
1569,4000753149795,150.35875269999997,2.0845558,False,True,False,False
1570,4000753149832,150.3916196,2.0864232,True,False,False,False
1571,4000753150369,150.3430154,2.1074492,False,True,False,False
1572,4000753150588,150.37217969999998,2.1167993,True,False,False,False
1573,4000753150591,150.3691555,2.1170949,False,False,True,False
1574,4000753150609,150.36115800000005,2.1171691000000004,False,True,False,False
1575,4000753150720,150.3732911,2.1210592,False,False,True,False
1576,4000753150821,150.37569950000002,2.131382,False,True,False,False
1577,4000753150881,150.357831,2.1263193,False,True,False,False
1578,4000753151025,150.3519666,2.1321596,False,False,True,False
1620,4000754608837,150.5429314,1.668664,True,False,False,False
1641,4000755593551,150.2643988,1.899739,False,True,False,False
1642,4000755593557,150.2644632,1.8998645,False,True,False,False
1643,4000755593568,150.26457659999997,1.9001298,False,True,False,False
1644,4000755594278,150.29065369999995,1.9301596,False,True,False,False
1645,4000755594488,150.28303119999995,1.9317905,True,False,False,False
1646,4000755600501,150.2892851,2.8004631,False,False,False,True
1647,4000755600515,150.2637439,2.8015188,False,True,False,False
1648,4000755600887,150.27942380000005,2.8157191000000004,False,True,False,False
1649,4000755601324,150.2788252,2.832387,True,False,False,False
1650,4000755601428,150.2995956,2.8360559,True,False,False,False
1651,4000755601448,150.2903583,2.8375676,False,False,False,True
1678,4000756620019,150.2483852,2.8087572999999995,False,True,False,False
1679,4000756620022,150.2529237,2.8092363,False,True,False,False
1680,4000756620350,150.2266497,2.8226057,False,False,True,False
1681,4000756620500,150.2358167,2.8279699000000003,False,True,False,False
1682,4000756621226,150.2210338,2.8524028,True,False,False,False
1683,4000756621316,150.22075800000005,2.8607299,False,True,False,False
1684,4000756621317,150.2360875,2.8581157000000004,False,False,False,True
1690,4000756776719,150.1342865,2.5964599,False,True,False,False
1691,4000756777213,150.1516872,2.6012496,False,False,True,False
1692,4000756778773,150.1255831,2.6212439,False,True,False,False
1693,4000756779321,150.11334319999995,2.6293343,False,False,False,True
1694,4000756779375,150.1026495,2.6304378,False,True,False,False
1695,4000756779657,150.1296004,2.6464346,False,False,False,True
1696,4000757017138,150.4339511,2.2827185,False,True,False,False
1697,4000757017510,150.4615133,2.2965397000000003,False,False,True,False
1698,4000757017639,150.4826937,2.303726,False,False,False,True
1699,4000757017651,150.48305290000005,2.3038933,False,False,False,True
1700,4000757017773,150.4657209,2.3107911,False,False,False,True
1740,4000757951644,150.423194,1.9582465,False,False,False,True
1741,4000757952095,150.4354853,1.9658213,False,True,False,False
1742,4000757952109,150.4368155,1.9662276,False,False,True,False
1743,4000757952530,150.45125330000005,1.9728024,False,True,False,False
1744,4000757952538,150.41978559999995,1.9713305,False,False,True,False
1745,4000757952892,150.4180623,1.9767731,False,False,False,True
1746,4000757952976,150.3930532,1.9777017,True,False,False,False
1747,4000757953111,150.41898899999995,1.9802189,True,False,False,False
1748,4000757954768,150.43703290000005,1.9996578,False,False,False,True
1749,4000757959715,150.4230835,1.9610362,True,False,False,False
1750,4000757962399,150.4151324,1.9954903,True,False,False,False
1890,4000764062097,150.36755300000004,1.923548,False,True,False,False
1891,4000764062411,150.3958023,1.937859,False,False,False,True
1892,4000764062559,150.3883296,1.9431649,False,False,False,True
1893,4000764063202,150.38821389999995,1.9640162,True,False,False,False
1909,4000764633747,150.13636269999995,2.6692828,True,False,False,False
1910,4000764633881,150.122663,2.6742964,False,True,False,False
1911,4000764634031,150.1547284,2.679094,False,True,False,False
1912,4000764634121,150.1287061,2.6828629,False,True,False,False
1913,4000764634146,150.14337450000005,2.6832373,False,False,True,False
1914,4000764634252,150.13216609999995,2.6866041000000003,False,True,False,False
1915,4000764634319,150.13314730000005,2.6897486,False,True,False,False
1916,4000764634334,150.1472406,2.6891169,True,False,False,False
1917,4000764634371,150.1302896,2.6907296,False,True,False,False
1918,4000764634408,150.12957580000003,2.6939635,True,False,False,False
1919,4000764634442,150.16082240000003,2.6922557,True,False,False,False
1920,4000764634466,150.1626192,2.6928001,True,False,False,False
1921,4000764634493,150.15232930000005,2.6935551,False,False,False,True
1922,4000764634601,150.146399,2.6985161,False,False,False,True
1923,4000764634739,150.13830190000004,2.7018813,False,True,False,False
1924,4000764634762,150.1464092,2.7111189,False,False,False,True
1925,4000764634885,150.1475979,2.7083526,False,True,False,False
1926,4000764635136,150.1301659,2.7112537,False,True,False,False
1947,4000764979551,150.2536405,1.7812782,True,False,False,False
1948,4000764979717,150.2843346,1.7867015,False,True,False,False
1949,4000764979909,150.24182009999996,1.7940512,False,True,False,False
1950,4000764980038,150.2840184,1.7994098000000005,False,False,True,False
1951,4000764980714,150.2693024,1.8263147,False,False,False,True
1965,4000765188431,150.1059055,1.9798631,False,False,False,True
1966,4000765189099,150.075495,2.0125847,False,True,False,False
2009,4000766539711,150.1759277,2.223053,False,False,False,True
2010,4000766539740,150.1538193,2.2261007,False,False,False,True
2011,4000766540153,150.1976033,2.252638,False,False,False,True
2012,4000766540252,150.2012929,2.2595325,False,False,False,True
2015,4000766860931,149.45359419999997,1.9454705,False,True,False,False
2016,4000766860949,149.4610897,1.9468699,False,True,False,False
2017,4000766861271,149.4863565,1.9657678,False,False,True,False
2018,4000766861387,149.4567711,1.9613284,False,False,False,True
2019,4000766861499,149.4683794,1.9685024,False,False,True,False
2021,4000766864801,150.3622814,1.872288,False,False,True,False
2022,4000766865419,150.36172480000005,1.9034121,False,True,False,False
2028,4000766904273,150.05895569999996,2.8384519,False,True,False,False
2029,4000766904299,150.0390064,2.8397762,False,True,False,False
2030,4000766904867,150.06641100000004,2.8611366,False,False,True,False
2031,4000766904874,150.09931719999997,2.8619395,False,False,False,True
2032,4000766905006,150.10210780000003,2.8665492,False,True,False,False
2033,4000766905028,150.07605569999996,2.86662,True,False,False,False
2034,4000766905127,150.074384,2.8702621,False,True,False,False
2035,4000766905202,150.098961,2.8729202000000003,True,False,False,False
2036,4000766905529,150.0490749,2.8822232000000003,False,False,False,True
2037,4000766905616,150.0472733,2.8785359,False,True,False,False
2038,4000767040234,149.7689831,2.1340557,False,False,True,False
2039,4000767040316,149.78167109999995,2.1390732000000003,False,True,False,False
2040,4000767040318,149.8007681,2.140141,True,False,False,False
2041,4000767040363,149.7753678,2.1412931,False,True,False,False
2042,4000767040580,149.79336999999995,2.1494259,False,False,False,True
2043,4000767040691,149.781354,2.1532584,False,True,False,False
2044,4000767040697,149.7655429,2.1529592,True,False,False,False
2045,4000767040772,149.78036369999995,2.156657,False,False,True,False
2046,4000767040869,149.77174580000005,2.1612631,False,True,False,False
2047,4000767040875,149.77160519999995,2.1609549,False,True,False,False
2048,4000767040876,149.79974330000005,2.161769,False,False,True,False
2049,4000767041063,149.8080849,2.1710128,False,True,False,False
2050,4000767041112,149.78451840000002,2.1722333,True,False,False,False
2051,4000767041299,149.7859637,2.1731595,False,True,False,False
2062,4000767227700,149.9308455,2.6458346,False,True,False,False
2063,4000767227719,149.9150546,2.6465478,False,True,False,False
2064,4000767227728,149.9323871,2.6470700000000003,False,True,False,False
2065,4000767227924,149.91656919999997,2.6559757,False,True,False,False
2066,4000767228131,149.9021284,2.663293,False,False,False,True
2067,4000767228829,149.9114636,2.6909127,False,True,False,False
2068,4000767228905,149.9286181,2.6878158,False,False,False,True
2099,4000767807755,149.9905044,2.2355421000000004,False,True,False,False
2100,4000767808055,149.9813219,2.2531982000000004,True,False,False,False
2174,4000769822870,149.5335743,2.4579095,False,False,False,True
2175,4000769822971,149.5034103,2.4623767999999995,False,False,True,False
2176,4000769822998,149.5091185,2.463825,False,True,False,False
2177,4000769823442,149.4962654,2.4820047,False,False,False,True
2178,4000769823567,149.5067822,2.4882804,False,False,False,True
2190,4000770069649,150.06414619999995,2.4096419,False,False,False,True
2191,4000770069910,150.0207608,2.4189507000000003,False,True,False,False
2192,4000770070049,150.0223618,2.425489,False,True,False,False
2193,4000770070299,150.0422064,2.433651,False,True,False,False
2194,4000770070327,150.0374735,2.4339935,False,True,False,False
2195,4000770070338,150.0248215,2.4347895,False,False,False,True
2196,4000770070442,150.0493395,2.4398217,False,False,False,True
2197,4000770070840,150.04947769999995,2.4607996,True,False,False,False
2217,4000770867888,149.6344483,2.3904462000000004,True,False,False,False
2218,4000770867916,149.6277555,2.3932533,False,False,True,False
2219,4000770868147,149.6400507,2.4017282000000004,False,False,False,True
2220,4000770868242,149.5959175,2.4061187000000004,False,False,False,True
2221,4000770868688,149.6246052,2.4204089,False,True,False,False
2222,4000770868699,149.63328810000004,2.4202914,True,False,False,False
2223,4000770868743,149.59436609999997,2.4298422000000004,False,True,False,False
2262,4000771256932,149.5159936,1.7702449,False,False,True,False
2263,4000771257061,149.4984258,1.7753644,True,False,False,False
2264,4000771257084,149.51867,1.7771756999999997,True,False,False,False
2330,4000775195198,150.49044750000004,2.8183261,False,True,False,False
2331,4000775195346,150.4981871,2.825296,False,False,False,True
2332,4000775195715,150.513774,2.8400541,False,True,False,False
2333,4000775195831,150.5138929,2.8441527,False,False,False,True
2334,4000775196208,150.5003367,2.8643063,False,False,True,False
2337,4000775442830,150.0434057,2.0924609,False,True,False,False
2338,4000775442843,150.03617869999997,2.0940307,False,False,True,False
2339,4000775443070,150.0417764,2.1067092,True,False,False,False
2340,4000775443103,150.0679275,2.1102625,False,False,True,False
2345,4000775474294,149.5139834,2.7784164,False,True,False,False
2369,4000776592777,149.5844365,2.2750862,False,False,True,False
2370,4000776593207,149.610864,2.2934598,False,True,False,False
2371,4000776593372,149.6182227,2.3013853,True,False,False,False
2372,4000776593426,149.5879491,2.3031896,False,False,False,True
2373,4000776593854,149.6109742,2.3211169,False,True,False,False
2374,4000776593939,149.5833372,2.323758,False,True,False,False
2383,4000777052415,149.9664291,2.3605039,False,False,False,True
2384,4000777052652,149.9675803,2.3634826,False,False,True,False
