mass,sfr
9.749,-1.177
10.898,0.998
8.891,-0.198
10.09,1.3
10.234,1.287
9.733,-0.199
9.655,1.115
10.95,-0.4
10.994,-0.7
11.25,0.3
10.852,0.408
9.825,0.2
9.589,0.503
10.95,0.5
11.15,-1.4
10.895,-0.2
10.556,-5.553
9.99,1.071
9.731,0.706
10.277,1.5
10.15,0.101
10.271,1.594
10.4,1.474
9.767,0.8
10.785,0.928
10.651,-0.302
11.2,1.4
9.095,-0.389
9.825,0.606
10.411,1.37
9.623,0.042
10.911,1.491
10.25,0.5
10.33,-3.721
9.233,0.284
9.232,0.041
10.818,0.148
10.329,-0.793
10.739,-0.371
10.48,0.983
9.677,1.055
10.9,-1.7
9.788,-0.319
9.854,0.918
8.953,0.622
9.565,-1.047
10.651,-0.297
10.46,1.534
11.517,-1.801
10.85,0.4
10.099,0.913
9.655,0.917
9.686,0.519
9.551,-0.001
10.353,1.499
10.832,1.241
8.715,-0.9
10.566,1.397
8.924,1.6
9.928,1.298
10.716,2.189
9.618,1.146
9.434,0.43
10.387,-0.8
10.944,-1.3
9.255,0.382
10.543,1.602
8.87,0.277
10.391,1.536
10.334,-0.6
10.902,1.8
11.021,1.934
10.433,-0.738
9.28,-0.408
9.713,1.194
9.385,0.603
9.154,-0.992
10.649,1.687
10.001,1.7
10.188,1.599
10.9,0.2
10.9,-0.404
10.287,-1.7
9.226,0.72
10.201,1.297
10.347,1.37
10.567,-1.355
10.154,1.224
10.817,-0.114
9.442,0.702
9.851,0.802
10.9,-0.9
9.805,0.574
10.114,1.387
10.722,-0.0
10.512,-0.433
9.714,1.2
10.501,1.702
9.029,0.301
9.253,-0.773
10.597,-2.724
10.548,-1.405
10.272,0.916
10.513,1.504
10.594,0.847
10.679,1.404
10.206,0.798
10.7,-0.6
8.898,-0.354
10.65,1.78
9.782,0.213
9.832,1.118
11.0,-0.5
10.476,2.018
9.411,0.575
10.9,0.4
10.751,-0.399
9.633,0.639
10.95,-0.7
9.943,1.627
9.508,0.695
9.542,0.883
9.948,0.921
11.021,-5.943
9.779,1.559
10.245,1.201
8.92,0.105
8.042,-0.494
10.747,0.769
10.732,0.032
10.364,1.401
10.612,1.669
10.582,1.286
9.955,0.343
10.5,-0.8
9.424,0.544
10.705,0.231
9.863,1.153
10.126,0.165
10.397,0.895
11.2,0.0
9.147,0.809
11.34,0.181
9.715,1.183
11.0,0.1
11.05,-0.7
9.935,1.598
9.792,0.968
9.415,0.809
10.372,1.686
9.923,-0.778
10.061,-0.1
10.9,-0.201
9.902,0.683
11.249,1.598
