col1,SourceID,RA_1a,Dec_1a,isStageOne,isStageTwo,isStageThree,isStageFour,ra_1,dec_1,type_1,zpdf_1,zpdf_l68_1,zpdf_h68_1,zminchi2_1,chi2_best_1,m_i_1,m_z_1,m_k_1,mass_med_1,mass_med_min68_1,mass_med_max68_1,mass_best_1,sfr_med_1,sfr_med_min68_1,sfr_med_max68_1,sfr_best_1,Separation_1,ra_2,dec_2,type_2,zpdf_2,zpdf_l68_2,zpdf_h68_2,zminchi2_2,chi2_best_2,m_i_2,m_z_2,m_k_2,mass_med_2,mass_med_min68_2,mass_med_max68_2,mass_best_2,sfr_med_2,sfr_med_min68_2,sfr_med_max68_2,sfr_best_2,Separation_2
11037,4001083112053,149.4909574,1.8520219,false,false,false,true,149.49102,1.852294,0,0.559,0.552,0.567,0.558,1.1596321429,-20.367,-20.388,-20.299,9.266,9.183,9.326,9.268,0.563,0.428,0.726,0.421,1.0051228132787944,149.490691,1.851691,0,4.256,4.022,4.394,4.271,0.873028,-20.31,-20.408,-20.267,8.76,8.536,8.969,8.435,0.698,0.613,0.797,0.707,1.529002933996758
11038,4001083120083,149.9531112,1.6772317,false,false,true,false,149.953293,1.67749,0,0.85,0.843,0.857,0.849,1.7352607143,-22.76,-22.993,-23.291,10.8,10.766,10.835,10.832,-1.699,-1.768,-1.63,-1.736,1.136949372706493,149.95272,1.677378,0,0.802,0.792,0.813,0.801,2.3945214286,-22.76,-23.025,-23.921,11.15,11.116,11.184,11.156,0.7,0.632,0.768,0.682,1.5030162322288065
11039,4001083120123,149.99791230000002,1.6784903999999998,false,true,false,false,149.998159,1.678746,0,0.43,0.421,0.439,0.429,1.0880571429,-19.782,-19.876,-19.763,9.3,9.265,9.335,9.309,-0.397,-0.467,-0.327,-0.364,1.2785830957936763,149.998959,1.678098,0,0.23,0.223,0.237,0.232,2.5248344828,-20.478,-20.727,-21.063,9.8,9.766,9.834,9.881,0.1,0.032,0.168,0.157,4.02269822095763
11040,4001083120203,149.94503830000005,1.6812167000000002,false,false,false,true,149.945458,1.681425,0,0.797,0.784,0.811,0.795,8.2825517241,-22.826,-23.071,-23.878,10.485,10.447,10.528,10.509,2.105,2.034,2.176,2.124,1.6861892025063505,149.945956,1.680471,0,1.007,0.998,1.015,1.008,1.9111827586,-22.887,-23.149,-23.501,10.606,10.553,10.657,10.556,1.7,1.631,1.769,1.709,4.255798739424242
11041,4001083120960,149.9690097,1.7100804,false,false,false,true,149.969049,1.710048,0,0.856,0.833,0.866,0.857,1.9746517241,-22.463,-22.647,-22.435,10.111,10.07,10.145,10.128,1.5,1.432,1.568,1.56,0.18331299616325686,149.969102,1.710932,0,2.477,2.351,2.623,2.39,0.96811428571,-22.739,-23.013,-23.247,10.621,10.557,10.68,10.66,1.515,1.418,1.6,1.497,3.083698429045592
11042,4001083121070,149.9946901,1.7122014,false,true,false,false,149.994764,1.711799,0,0.961,0.951,0.971,0.96,1.4965464286,-20.755,-21.013,-21.039,9.601,9.563,9.638,9.58,0.715,0.637,0.783,0.714,1.472844852262596,149.994956,1.712538,0,0.58,0.572,0.587,0.577,2.9194689655,-21.22,-21.306,-21.456,9.493,9.459,9.532,9.521,1.101,1.032,1.169,1.135,1.5439729628505898
11047,4001083131893,150.2620789,2.6140713,false,false,true,false,150.262279,2.613994,0,0.23,0.223,0.237,0.228,2.2707655172,-18.64,-18.8,-18.717,8.708,8.654,8.771,8.808,-0.445,-0.583,-0.181,-0.355,0.7715431987055279,150.261422,2.613882,0,0.992,0.981,1.002,0.993,1.5666142857,-23.0,-23.203,-23.502,10.895,10.861,10.932,10.88,-1.089,-1.164,-1.013,-1.114,2.4587092257975103
11048,4001083131967,150.2268996,2.6159957,false,false,false,true,150.224182,2.615446,0,2.985,0.174,3.175,3.082,1.2329307692,-18.975,-18.947,-18.389,8.079,7.907,8.205,7.916,0.539,0.443,0.627,0.576,9.971504864755111,150.223264,2.617782,0,0.672,0.663,0.679,0.672,1.2819678571,-21.501,-21.672,-21.973,10.037,10.003,10.078,10.019,1.304,1.233,1.372,1.303,14.570397563081583
11049,4001083132086,150.2615666,2.619754,false,false,true,false,150.261314,2.620321,0,0.13,0.105,0.209,0.131,1.1569,-15.239,-15.458,-15.164,7.377,7.302,7.523,7.409,-1.713,-1.886,-1.479,-1.648,2.234212404790622,150.26095,2.620711,0,1.477,1.139,2.269,1.146,2.1855925926,-21.237,-21.08,-20.946,9.047,8.953,9.223,8.99,1.314,1.225,1.39,1.357,4.097125787243088
11050,4001083132110,150.26197040000002,2.6198105,false,false,false,false,150.26182,2.61966,0,0.66,0.653,0.667,0.662,1.6221214286,-21.343,-21.454,-21.388,9.716,9.674,9.751,9.713,1.0,0.932,1.068,1.023,0.7655665013885532,150.262113,2.618635,0,0.425,0.406,0.447,0.42,1.6583,-18.009,-17.907,-17.672,8.438,8.37,8.499,8.465,-0.845,-0.948,-0.696,-0.892,4.262759596405134
