"col1","SourceID","RA_1a","Dec_1a","isStageOne","isStageTwo","isStageThree","isStageFour","ra_1","dec_1","type_1","zpdf_1","zpdf_l68_1","zpdf_h68_1","zminchi2_1","chi2_best_1","m_i_1","m_z_1","m_k_1","mass_med_1","mass_med_min68_1","mass_med_max68_1","mass_best_1","sfr_med_1","sfr_med_min68_1","sfr_med_max68_1","sfr_best_1","Separation_1","ra_2","dec_2","type_2","zpdf_2","zpdf_l68_2","zpdf_h68_2","zminchi2_2","chi2_best_2","m_i_2","m_z_2","m_k_2","mass_med_2","mass_med_min68_2","mass_med_max68_2","mass_best_2","sfr_med_2","sfr_med_min68_2","sfr_med_max68_2","sfr_best_2","Separation_2"
13112,4001158624531,149.9833508,2.7204895,0,0,0,1,149.983231,2.720783,0,1.245,1.231,1.255,1.247,2.0550035714,-23.4,-23.632,-24.443,10.751,10.712,10.789,10.731,2.641,2.554,2.722,2.638,1.1410464176273183,,,,,,,,,,,,,,,,,,,,
13113,4001158624555,150.01433490000005,2.7211457,0,1,0,0,150.013782,2.720558,0,2.505,1.849,2.761,2.712,0.966875,-20.665,-20.748,-20.264,9.388,9.259,9.482,9.377,0.538,0.349,0.846,-0.197,2.903307576171131,150.013782,2.720558,0,2.505,1.849,2.761,2.712,0.966875,-20.665,-20.748,-20.264,9.388,9.259,9.482,9.377,0.538,0.349,0.846,-0.197,2.903307576171131
13114,4001158624950,149.9801396,2.7276955000000003,0,0,0,1,149.98016,2.727765,0,0.51,0.502,0.519,0.509,1.7831068966,-22.0,-22.265,-22.622,10.548,10.514,10.583,10.535,0.703,0.631,0.772,0.689,0.2607321586616644,,,,,,,,,,,,,,,,,,,,
13115,4001158627040,149.99905980000003,2.7534195,0,0,1,0,149.999097,2.754107,0,1.21,1.203,1.217,1.214,3.1263413793,-22.919,-22.936,-22.89,10.065,10.022,10.099,10.083,1.899,1.831,1.968,1.893,2.4786121458971215,149.999097,2.754107,0,1.21,1.203,1.217,1.214,3.1263413793,-22.919,-22.936,-22.89,10.065,10.022,10.099,10.083,1.899,1.831,1.968,1.893,2.4786121458971215
13127,4001159065828,150.1358803,2.2328698,0,1,0,0,150.136124,2.233229,0,0.188,0.181,0.196,0.187,0.69692142857,-18.469,-18.562,-18.468,8.663,8.62,8.738,8.714,-0.619,-0.711,-0.537,-0.534,1.562267955937023,150.136001,2.232017,0,0.455,0.403,0.82,0.444,1.7855884615,-16.761,-16.83,-17.093,7.569,7.443,7.681,7.374,-0.262,-0.389,-0.136,-0.255,3.1006309588351533
13168,4001160833867,150.04658590000005,2.314085,0,1,0,0,150.046364,2.314139,0,0.804,0.792,0.822,0.799,1.4761222222,-21.675,-21.669,-21.949,9.674,9.621,9.721,9.671,1.705,1.631,1.775,1.719,0.821520717972137,150.047149,2.314831,0,2.498,2.273,2.739,2.354,0.87430740741,-21.074,-20.952,-20.671,9.183,9.064,9.293,9.167,0.966,0.878,1.076,0.977,3.363795950806193
13169,4001160833887,150.0362747,2.3174332000000004,0,0,1,0,150.03651,2.3172,0,0.886,0.875,1.466,0.885,12.561892857,-23.215,-23.468,-24.361,10.15,10.116,10.184,10.123,2.5,2.432,2.568,2.494,1.1921263565469113,150.03566,2.317141,0,1.439,1.372,1.509,1.413,1.6629653846,-20.434,-20.527,-20.699,9.157,9.027,9.274,9.278,0.59,0.466,0.956,0.513,2.4485801464078354
13173,4001161053850,150.51882980000005,1.9264839,1,0,0,0,150.519555,1.926156,0,1.663,1.647,1.679,1.662,4.2402142857,-23.755,-24.086,-24.539,11.253,11.217,11.287,11.271,1.507,1.434,1.575,1.546,2.8638428956834927,150.519555,1.926156,0,1.663,1.647,1.679,1.662,4.2402142857,-23.755,-24.086,-24.539,11.253,11.217,11.287,11.271,1.507,1.434,1.575,1.546,2.8638428956834927
13174,4001161054359,150.4803957,1.9508908,1,0,0,0,150.479798,1.951138,0,0.661,0.653,0.668,0.662,3.8302413793,-22.363,-22.687,-23.374,10.623,10.58,10.668,10.619,1.598,1.529,1.668,1.594,2.3273354314876213,150.479798,1.951138,0,0.661,0.653,0.668,0.662,3.8302413793,-22.363,-22.687,-23.374,10.623,10.58,10.668,10.619,1.598,1.529,1.668,1.594,2.3273354314876213
13179,4001161237538,149.5085017,2.2615208,1,0,0,0,149.508759,2.261385,2,0.955,0.946,0.963,0.955,2.4957321429,-24.322,-24.593,-24.95,11.501,11.466,11.535,11.518,-2.395,-2.486,-2.304,-11.422,1.0467389104683256,149.507699,2.262119,0,0.737,0.705,0.775,0.735,0.65501851852,-19.553,-19.686,-20.177,9.542,9.38,9.649,9.356,-0.716,-1.244,-0.408,-1.223,3.602099898890081
13180,4001161237583,149.5463338,2.2637494,0,0,0,1,149.546481,2.263952,0,0.923,0.91,0.933,0.924,3.7488571429,-23.147,-23.44,-24.083,11.247,11.207,11.285,11.276,-0.096,-0.169,-0.027,-0.059,0.9013007509607481,,,,,,,,,,,,,,,,,,,,
13181,4001161237628,149.5294677,2.2667291,1,0,0,0,149.529624,2.266751,0,0.589,0.581,0.598,0.589,2.6841689655,-21.907,-22.221,-22.626,10.299,10.264,10.334,10.297,1.402,1.333,1.472,1.38,0.5677404722490078,149.529031,2.266523,0,0.412,0.404,0.419,0.413,1.737837931,-20.83,-21.11,-21.683,10.152,10.115,10.188,10.136,0.395,0.327,0.466,0.411,1.7372967388195415
13182,4001161237644,149.5294514,2.2669048,0,0,0,0,149.530394,2.269095,0,1.965,1.335,2.885,1.479,0.16087769231,-19.829,-19.994,-19.942,9.08,8.868,9.249,9.074,0.561,0.247,0.833,0.571,8.582870634228284,149.526706,2.266802,0,0.904,0.793,0.991,0.915,0.55877692308,-19.216,-19.399,-18.666,8.739,8.552,8.916,8.766,0.035,-0.3,0.341,-0.037,9.882637378260803
13183,4001161237898,149.5227201,2.2828131000000003,0,0,0,1,149.522909,2.2828,0,0.42,0.413,0.427,0.424,6.189,-22.197,-22.332,-22.472,9.766,9.719,9.832,9.774,2.063,1.917,2.153,2.055,0.6811348945027536,,,,,,,,,,,,,,,,,,,,
13184,4001161237953,149.51709219999995,2.2717725,1,0,0,0,149.517257,2.271746,0,1.349,1.291,1.4,1.35,1.3253444444,-21.462,-21.535,-21.611,9.676,9.614,9.821,9.649,1.36,0.976,1.471,1.422,0.6004408879956344,149.516699,2.271528,0,0.214,0.206,0.223,0.215,3.6314137931,-18.83,-19.032,-19.2,8.809,8.662,8.955,8.977,0.211,-0.129,0.578,-0.068,1.6659234245724737
13195,4001162245934,150.523126,2.1064302,0,1,0,0,150.522333,2.106942,0,0.814,0.799,0.829,0.803,1.6797586207,-22.062,-22.055,-22.04,10.039,9.971,10.094,10.079,1.162,1.052,1.416,1.109,3.3961157927977275,150.522333,2.106942,0,0.814,0.799,0.829,0.803,1.6797586207,-22.062,-22.055,-22.04,10.039,9.971,10.094,10.079,1.162,1.052,1.416,1.109,3.3961157927977275
13196,4001162246054,150.538387,2.1112509,0,0,1,0,150.538409,2.111442,0,0.842,0.833,0.85,0.842,4.0795517241,-22.944,-22.934,-23.365,10.435,10.377,10.481,10.447,1.717,1.637,1.796,1.73,0.6924977167544516,150.537787,2.111104,0,3.694,3.312,4.545,3.349,2.6981777778,-21.824,-22.408,-22.742,9.693,9.591,9.762,9.68,1.8,1.714,1.88,1.823,2.2223726332652722
13197,4001162246142,150.51239809999996,2.1148095,0,0,0,1,150.512421,2.115085,0,0.486,0.468,0.499,0.488,1.0139892857,-19.627,-19.756,-19.614,9.144,9.101,9.195,9.148,-0.005,-0.232,0.093,0.013,0.9952157240604163,,,,,,,,,,,,,,,,,,,,
13198,4001162246153,150.5278618,2.1151227,0,1,0,0,150.528147,2.115501,0,0.85,0.841,0.858,0.851,6.5250357143,-23.562,-23.747,-24.147,10.981,10.908,11.028,11.006,2.037,1.944,2.282,2.037,1.7051202034050956,150.528161,2.114696,0,0.449,0.418,0.471,0.463,0.96043703704,-16.494,-16.816,-17.325,7.928,7.845,8.037,7.913,-0.573,-0.712,-0.44,-0.574,1.875705761752593
13199,4001162246163,150.5103024,2.1153567000000004,0,0,0,1,150.510318,2.115675,0,0.93,0.923,0.937,0.93,1.5615137931,-22.11,-22.32,-22.646,10.301,10.204,10.363,10.345,1.262,1.152,1.53,1.207,1.14725351262354,,,,,,,,,,,,,,,,,,,,
13200,4001162246217,150.5172044,2.1168897,0,0,0,1,150.517235,2.117218,0,0.301,0.293,0.309,0.301,0.81219310345,-18.507,-18.604,-18.678,8.604,8.55,8.66,8.617,-0.354,-0.542,-0.171,-0.352,1.1869957875585906,,,,,,,,,,,,,,,,,,,,
13201,4001162246306,150.5081924,2.1196618,0,0,0,1,150.50782,2.120191,0,0.839,0.83,0.849,0.839,2.1494137931,-23.14,-23.236,-23.345,10.563,10.522,10.597,10.556,1.604,1.533,1.672,1.642,2.329020923501121,,,,,,,,,,,,,,,,,,,,
13202,4001162246402,150.51594409999996,2.1235398,1,0,0,0,150.516183,2.123273,0,0.311,0.303,0.318,0.312,3.5285517241,-21.719,-22.01,-22.693,10.331,10.288,10.375,10.31,1.194,1.123,1.272,1.102,1.2888658503704393,150.516183,2.123273,0,0.311,0.303,0.318,0.312,3.5285517241,-21.719,-22.01,-22.693,10.331,10.288,10.375,10.31,1.194,1.123,1.272,1.102,1.2888658503704393
13203,4001162246742,150.5596513,2.1356727,0,0,0,1,150.559828,2.135487,0,0.964,0.905,1.023,0.916,0.97331481481,-19.078,-19.231,-19.395,8.932,8.772,9.038,8.922,0.066,-0.143,0.344,-0.062,0.9224997231449035,,,,,,,,,,,,,,,,,,,,
13204,4001162246963,150.51565580000005,2.1428324,0,0,1,0,150.515688,2.14307,0,0.8,0.749,0.864,0.796,1.2349103448,-21.049,-21.232,-21.588,9.915,9.855,9.983,9.939,0.77,0.603,1.012,0.761,0.8631682266003927,150.514996,2.142371,1,0.584,0.498,0.673,0.691,1.903237037,-18.279,-18.193,-17.972,8.907,8.711,8.98,8.979,-2.051,-2.2,-1.854,-2.122,2.897088679173883
13223,4001162586188,150.4466032,2.3358790000000003,0,0,1,0,150.446706,2.335943,0,1.193,1.182,1.202,1.193,5.9108965517,-21.735,-21.929,-22.958,10.328,10.171,10.375,10.336,0.832,0.743,1.168,0.839,0.4356786054905487,150.44666,2.336651,0,0.478,0.47,0.487,0.478,1.2894103448,-20.696,-20.894,-20.999,9.813,9.721,9.887,9.93,0.269,0.145,0.452,0.248,2.786699702224071
13224,4001162586212,150.4816524,2.3370663,0,0,0,1,150.481784,2.336771,0,0.566,0.553,0.579,0.564,1.6776962963,-20.353,-20.252,-20.206,9.362,9.311,9.43,9.343,0.351,0.079,0.475,0.366,1.1637071987454781,,,,,,,,,,,,,,,,,,,,
13225,4001162586799,150.48442409999996,2.3614737,0,0,0,1,150.484567,2.361529,0,0.899,0.86,0.928,0.898,1.0020448276,-21.66,-21.931,-22.214,10.285,10.229,10.341,10.295,0.977,0.852,1.213,0.938,0.5512096164389972,,,,,,,,,,,,,,,,,,,,
13226,4001162586972,150.45100109999996,2.3691717,0,0,1,0,150.450875,2.369241,0,0.991,0.893,1.008,0.889,4.0156071429,-22.804,-23.083,-23.494,10.272,10.224,10.321,10.249,2.103,2.033,2.171,2.108,0.5176560492182785,150.451819,2.3689,0,2.231,1.918,2.536,2.547,1.2148407407,-20.929,-21.102,-20.659,9.549,9.418,9.629,9.587,0.527,0.427,0.841,0.542,3.1002632483339627
13227,4001162586994,150.4653383,2.3702537,0,1,0,0,150.465521,2.370285,0,0.66,0.653,0.667,0.658,0.88069310345,-20.881,-21.086,-21.113,9.751,9.687,9.816,9.853,0.569,0.461,0.777,0.515,0.6667476743637248,150.464803,2.370299,0,0.287,0.21,0.665,0.216,0.77644074074,-16.502,-16.941,-17.466,7.786,7.554,8.018,7.525,-0.375,-0.666,-0.154,-0.098,1.932325154267274
13228,4001162587185,150.4672226,2.3822095,0,0,0,1,150.467297,2.382081,0,0.008,0.002,0.201,0.01,5.1847777778,-10.667,-10.877,-11.254,7.02,7.006,7.034,5.813,-2.113,-2.185,-2.031,-3.094,0.5344278166124928,,,,,,,,,,,,,,,,,,,,
